t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.579167,4.54315156e-01,-1.64721310e-01,-1.64721310e-01,0.00000000e+00,-1.64721310e-01,1.35665555e-02,16
0.583333,4.53628868e-01,-1.64712235e-01,-1.64712235e-01,0.00000000e+00,-1.64712235e-01,1.35650607e-02,16
0.587500,4.52942610e-01,-1.64703310e-01,-1.64703310e-01,0.00000000e+00,-1.64703310e-01,1.35635901e-02,16
0.591667,4.52256382e-01,-1.64694503e-01,-1.64694503e-01,0.00000000e+00,-1.64694503e-01,1.35621401e-02,16
0.595833,4.51570183e-01,-1.64685830e-01,-1.64685830e-01,0.00000000e+00,-1.64685830e-01,1.35607114e-02,16
0.600000,4.50884014e-01,-1.64677292e-01,-1.64677292e-01,0.00000000e+00,-1.64677292e-01,1.35593051e-02,16
0.604167,4.50197905e-01,-1.64668873e-01,-1.64668873e-01,0.00000000e+00,-1.64668873e-01,1.35579193e-02,16
0.608333,4.49511826e-01,-1.64660558e-01,-1.64660558e-01,0.00000000e+00,-1.64660558e-01,1.35565493e-02,16
0.612500,4.48892713e-01,-1.48587927e-01,-1.48587927e-01,0.00000000e+00,-1.48587927e-01,1.10391863e-02,32
0.616667,4.48353171e-01,-1.29492506e-01,-1.29492506e-01,0.00000000e+00,-1.29492506e-01,8.38415418e-03,32
0.620833,4.47875112e-01,-1.14733711e-01,-1.14733711e-01,0.00000000e+00,-1.14733711e-01,6.58191228e-03,32
0.625000,4.47439224e-01,-1.04616150e-01,-1.04616150e-01,0.00000000e+00,-1.04616150e-01,5.47226937e-03,32
0.629167,4.47030902e-01,-9.79946777e-02,-9.79946777e-02,0.00000000e+00,-9.79946777e-02,4.80147824e-03,32
0.633333,4.46640372e-01,-9.37241390e-02,-9.37241390e-02,0.00000000e+00,-9.37241390e-02,4.39210702e-03,32
0.637500,4.46261376e-01,-9.09581110e-02,-9.09581110e-02,0.00000000e+00,-9.09581110e-02,4.13668901e-03,32
0.641667,4.45889980e-01,-8.91345739e-02,-8.91345739e-02,0.00000000e+00,-8.91345739e-02,3.97248613e-03,32
0.645833,4.45523739e-01,-8.78985822e-02,-8.78985822e-02,0.00000000e+00,-8.78985822e-02,3.86308040e-03,32
0.650000,4.45161104e-01,-8.70313570e-02,-8.70313570e-02,0.00000000e+00,-8.70313570e-02,3.78722860e-03,32
0.654167,4.44801092e-01,-8.63993838e-02,-8.63993838e-02,0.00000000e+00,-8.63993838e-02,3.73242679e-03,32
0.658333,4.44443077e-01,-8.59211311e-02,-8.59211311e-02,0.00000000e+00,-8.59211311e-02,3.69122042e-03,32
0.662500,4.44086641e-01,-8.55463296e-02,-8.55463296e-02,0.00000000e+00,-8.55463296e-02,3.65908723e-03,32
0.666667,4.43731457e-01,-8.52435157e-02,-8.52435157e-02,0.00000000e+00,-8.52435157e-02,3.63322860e-03,32
0.670833,4.43377316e-01,-8.49925503e-02,-8.49925503e-02,0.00000000e+00,-8.49925503e-02,3.61186685e-03,32
0.675000,4.43024069e-01,-8.47801864e-02,-8.47801864e-02,0.00000000e+00,-8.47801864e-02,3.59383994e-03,32
0.679167,4.42671567e-01,-8.45974609e-02,-8.45974609e-02,0.00000000e+00,-8.45974609e-02,3.57836508e-03,32
0.683333,4.42319751e-01,-8.44381079e-02,-8.44381079e-02,0.00000000e+00,-8.44381079e-02,3.56489699e-03,32
0.687500,4.41968501e-01,-8.42975974e-02,-8.42975974e-02,0.00000000e+00,-8.42975974e-02,3.55304242e-03,32
0.691667,4.41617787e-01,-8.41725692e-02,-8.41725692e-02,0.00000000e+00,-8.41725692e-02,3.54251079e-03,32
0.695833,4.41267520e-01,-8.40604827e-02,-8.40604827e-02,0.00000000e+00,-8.40604827e-02,3.53308232e-03,32
0.700000,4.40917701e-01,-8.39593187e-02,-8.39593187e-02,0.00000000e+00,-8.39593187e-02,3.52458353e-03,32
0.704167,4.40568238e-01,-8.38675052e-02,-8.38675052e-02,0.00000000e+00,-8.38675052e-02,3.51687917e-03,32
0.708333,4.40219134e-01,-8.37837532e-02,-8.37837532e-02,0.00000000e+00,-8.37837532e-02,3.50985862e-03,32
0.712500,4.39870358e-01,-8.37070197e-02,-8.37070197e-02,0.00000000e+00,-8.37070197e-02,3.50343250e-03,32
0.716667,4.39521879e-01,-8.36364329e-02,-8.36364329e-02,0.00000000e+00,-8.36364329e-02,3.49752652e-03,32
0.720833,4.39173669e-01,-8.35712552e-02,-8.35712552e-02,0.00000000e+00,-8.35712552e-02,3.49207735e-03,32
0.725000,4.38825697e-01,-8.35108981e-02,-8.35108981e-02,0.00000000e+00,-8.35108981e-02,3.48703493e-03,32
0.729167,4.38477963e-01,-8.34548175e-02,-8.34548175e-02,0.00000000e+00,-8.34548175e-02,3.48235318e-03,32
0.733333,4.38130438e-01,-8.34025666e-02,-8.34025666e-02,0.00000000e+00,-8.34025666e-02,3.47799412e-03,32
0.737500,4.37783122e-01,-8.33537579e-02,-8.33537579e-02,0.00000000e+00,-8.33537579e-02,3.47392447e-03,32
0.741667,4.37436014e-01,-8.33080485e-02,-8.33080485e-02,0.00000000e+00,-8.33080485e-02,3.47011536e-03,32
0.745833,4.37089086e-01,-8.32651630e-02,-8.32651630e-02,0.00000000e+00,-8.32651630e-02,3.46654374e-03,32
0.750000,4.36742306e-01,-8.32248032e-02,-8.32248032e-02,0.00000000e+00,-8.32248032e-02,3.46318400e-03,32
0.754167,4.36395705e-01,-8.31867903e-02,-8.31867903e-02,0.00000000e+00,-8.31867903e-02,3.46002099e-03,32
0.758333,4.36049253e-01,-8.31508934e-02,-8.31508934e-02,0.00000000e+00,-8.31508934e-02,3.45703564e-03,32
0.762500,4.35702920e-01,-8.31169486e-02,-8.31169486e-02,0.00000000e+00,-8.31169486e-02,3.45421350e-03,32
0.766667,4.35356736e-01,-8.30847919e-02,-8.30847919e-02,0.00000000e+00,-8.30847919e-02,3.45154130e-03,32
0.770833,4.35010672e-01,-8.30542892e-02,-8.30542892e-02,0.00000000e+00,-8.30542892e-02,3.44900740e-03,32
0.775000,4.34664726e-01,-8.30252916e-02,-8.30252916e-02,0.00000000e+00,-8.30252916e-02,3.44659947e-03,32
0.779167,4.34318900e-01,-8.29977095e-02,-8.29977095e-02,0.00000000e+00,-8.29977095e-02,3.44430981e-03,32
0.783333,4.33973193e-01,-8.29714388e-02,-8.29714388e-02,0.00000000e+00,-8.29714388e-02,3.44212982e-03,32
0.787500,4.33627576e-01,-8.29463676e-02,-8.29463676e-02,0.00000000e+00,-8.29463676e-02,3.44004994e-03,32
0.791667,4.33282077e-01,-8.29224288e-02,-8.29224288e-02,0.00000000e+00,-8.29224288e-02,3.43806460e-03,32
0.795833,4.32936668e-01,-8.28995481e-02,-8.28995481e-02,0.00000000e+00,-8.28995481e-02,3.43616749e-03,32
0.800000,4.32591349e-01,-8.28776434e-02,-8.28776434e-02,0.00000000e+00,-8.28776434e-02,3.43435188e-03,32
0.804167,4.32246119e-01,-8.28566477e-02,-8.28566477e-02,0.00000000e+00,-8.28566477e-02,3.43261193e-03,32
0.808333,4.31900978e-01,-8.28365386e-02,-8.28365386e-02,0.00000000e+00,-8.28365386e-02,3.43094603e-03,32
0.812500,4.31555897e-01,-8.28171894e-02,-8.28171894e-02,0.00000000e+00,-8.28171894e-02,3.42934346e-03,32
0.816667,4.31210905e-01,-8.27986300e-02,-8.27986300e-02,0.00000000e+00,-8.27986300e-02,3.42780654e-03,32
0.820833,4.30865973e-01,-8.27807784e-02,-8.27807784e-02,0.00000000e+00,-8.27807784e-02,3.42632853e-03,32
0.825000,4.30521131e-01,-8.27635899e-02,-8.27635899e-02,0.00000000e+00,-8.27635899e-02,3.42490594e-03,32
0.829167,4.30176347e-01,-8.27470347e-02,-8.27470347e-02,0.00000000e+00,-8.27470347e-02,3.42353596e-03,32
0.833333,4.29831624e-01,-8.27310756e-02,-8.27310756e-02,0.00000000e+00,-8.27310756e-02,3.42221535e-03,32
0.837500,4.29486990e-01,-8.27156901e-02,-8.27156901e-02,0.00000000e+00,-8.27156901e-02,3.42094270e-03,32
0.841667,4.29142416e-01,-8.27008188e-02,-8.27008188e-02,0.00000000e+00,-8.27008188e-02,3.41971265e-03,32
0.845833,4.28797901e-01,-8.26864615e-02,-8.26864615e-02,0.00000000e+00,-8.26864615e-02,3.41852545e-03,32
0.850000,4.28453445e-01,-8.26725811e-02,-8.26725811e-02,0.00000000e+00,-8.26725811e-02,3.41737783e-03,32
0.854167,4.28109020e-01,-8.26591700e-02,-8.26591700e-02,0.00000000e+00,-8.26591700e-02,3.41626909e-03,32
0.858333,4.27764654e-01,-8.26461688e-02,-8.26461688e-02,0.00000000e+00,-8.26461688e-02,3.41519457e-03,32
0.862500,4.27420348e-01,-8.26335847e-02,-8.26335847e-02,0.00000000e+00,-8.26335847e-02,3.41415475e-03,32
0.866667,4.27076101e-01,-8.26213881e-02,-8.26213881e-02,0.00000000e+00,-8.26213881e-02,3.41314683e-03,32
0.870833,4.26731884e-01,-8.26095641e-02,-8.26095641e-02,0.00000000e+00,-8.26095641e-02,3.41217010e-03,32
0.875000,4.26387727e-01,-8.25980976e-02,-8.25980976e-02,0.00000000e+00,-8.25980976e-02,3.41122295e-03,32
0.879167,4.26043630e-01,-8.25869665e-02,-8.25869665e-02,0.00000000e+00,-8.25869665e-02,3.41030350e-03,32
0.883333,4.25699562e-01,-8.25761631e-02,-8.25761631e-02,0.00000000e+00,-8.25761631e-02,3.40941129e-03,32
0.887500,4.25355524e-01,-8.25656801e-02,-8.25656801e-02,0.00000000e+00,-8.25656801e-02,3.40854586e-03,32
0.891667,4.25011545e-01,-8.25554729e-02,-8.25554729e-02,0.00000000e+00,-8.25554729e-02,3.40770301e-03,32
0.895833,4.24667597e-01,-8.25455487e-02,-8.25455487e-02,0.00000000e+00,-8.25455487e-02,3.40688392e-03,32
0.900000,4.24323708e-01,-8.25359002e-02,-8.25359002e-02,0.00000000e+00,-8.25359002e-02,3.40608740e-03,32
