t,KE,vx
1.141667,1.59450760e+01,5.64713669e+00
1.145833,1.58787069e+01,5.63537169e+00
1.150000,1.58126125e+01,5.62363100e+00
1.154167,1.57467957e+01,5.61191511e+00
1.158333,1.56812515e+01,5.60022354e+00
1.162500,1.56159811e+01,5.58855629e+00
1.166667,1.55509815e+01,5.57691336e+00
1.170833,1.54862528e+01,5.56529474e+00
1.175000,1.54217939e+01,5.55370045e+00
1.179167,1.53576021e+01,5.54212999e+00
1.183333,1.52936792e+01,5.53058386e+00
1.187500,1.52300205e+01,5.51906157e+00
1.191667,1.51666279e+01,5.50756359e+00
1.195833,1.51034994e+01,5.49608946e+00
1.200000,1.50406332e+01,5.48463917e+00
1.204167,1.49780283e+01,5.47321272e+00
1.208333,1.49156847e+01,5.46181011e+00
1.212500,1.48536005e+01,5.45043135e+00
1.216667,1.47917738e+01,5.43907595e+00
1.220833,1.47302046e+01,5.42774439e+00
1.225000,1.46688929e+01,5.41643667e+00
1.229167,1.46078358e+01,5.40515232e+00
1.233333,1.45470314e+01,5.39389133e+00
1.237500,1.44864807e+01,5.38265371e+00
1.241667,1.44261837e+01,5.37143993e+00
1.245833,1.43661375e+01,5.36024952e+00
1.250000,1.43063393e+01,5.34908199e+00
1.254167,1.42467899e+01,5.33793783e+00
1.258333,1.41874895e+01,5.32681704e+00
1.262500,1.41284351e+01,5.31571913e+00
1.266667,1.40696268e+01,5.30464458e+00
1.270833,1.40110626e+01,5.29359293e+00
1.275000,1.39527445e+01,5.28256464e+00
1.279167,1.38946686e+01,5.27155924e+00
1.283333,1.38368340e+01,5.26057673e+00
1.287500,1.37792397e+01,5.24961710e+00
1.291667,1.37218857e+01,5.23868036e+00
1.295833,1.36647711e+01,5.22776651e+00
1.300000,1.36078930e+01,5.21687508e+00
1.304167,1.35512524e+01,5.20600653e+00
1.308333,1.34948454e+01,5.19516039e+00
1.312500,1.34386759e+01,5.18433714e+00
1.316667,1.33827391e+01,5.17353630e+00
1.320833,1.33270340e+01,5.16275787e+00
1.325000,1.32715616e+01,5.15200186e+00
1.329167,1.32163200e+01,5.14126825e+00
