t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.612500,3.08166862e-01,-1.57211527e-01,-1.57211527e-01,0.00000000e+00,-1.57211527e-01,1.23577323e-02,32
0.616667,3.07511806e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
0.620833,3.06856751e-01,-1.57211527e-01,-1.57211527e-01,0.00000000e+00,-1.57211527e-01,1.23577323e-02,32
0.625000,3.06201696e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
0.629167,3.05546641e-01,-1.57211527e-01,-1.57211527e-01,0.00000000e+00,-1.57211527e-01,1.23577323e-02,32
0.633333,3.04891586e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
0.637500,3.04236531e-01,-1.57211527e-01,-1.57211527e-01,0.00000000e+00,-1.57211527e-01,1.23577323e-02,32
0.641667,3.03581476e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
0.645833,3.02926421e-01,-1.57211527e-01,-1.57211527e-01,0.00000000e+00,-1.57211527e-01,1.23577323e-02,32
0.650000,3.02271366e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
0.654167,3.01616311e-01,-1.57211527e-01,-1.57211527e-01,0.00000000e+00,-1.57211527e-01,1.23577323e-02,32
0.658333,3.00961256e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
0.662500,3.00306201e-01,-1.57211527e-01,-1.57211527e-01,0.00000000e+00,-1.57211527e-01,1.23577323e-02,32
0.666667,2.99651146e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
0.670833,2.98943698e-01,-1.69788465e-01,-1.69788465e-01,0.00000000e+00,-1.69788465e-01,1.44140618e-02,32
0.675000,2.98193276e-01,-1.80101544e-01,-1.80101544e-01,0.00000000e+00,-1.80101544e-01,1.62182823e-02,32
0.679167,2.97407627e-01,-1.88558280e-01,-1.88558280e-01,0.00000000e+00,-1.88558280e-01,1.77771132e-02,32
0.683333,2.96593070e-01,-1.95492804e-01,-1.95492804e-01,0.00000000e+00,-1.95492804e-01,1.91087183e-02,32
0.687500,2.95754820e-01,-2.01179102e-01,-2.01179102e-01,0.00000000e+00,-2.01179102e-01,2.02365164e-02,32
0.691667,2.94897139e-01,-2.05841869e-01,-2.05841869e-01,0.00000000e+00,-2.05841869e-01,2.11854372e-02,32
0.695833,2.94023544e-01,-2.09665343e-01,-2.09665343e-01,0.00000000e+00,-2.09665343e-01,2.19797771e-02,32
0.700000,2.93136865e-01,-2.12800592e-01,-2.12800592e-01,0.00000000e+00,-2.12800592e-01,2.26420462e-02,32
0.704167,2.92239487e-01,-2.15371504e-01,-2.15371504e-01,0.00000000e+00,-2.15371504e-01,2.31924430e-02,32
0.708333,2.91333318e-01,-2.17479646e-01,-2.17479646e-01,0.00000000e+00,-2.17479646e-01,2.36486979e-02,32
0.712500,2.90419936e-01,-2.19208315e-01,-2.19208315e-01,0.00000000e+00,-2.19208315e-01,2.40261424e-02,32
0.716667,2.89500654e-01,-2.20625818e-01,-2.20625818e-01,0.00000000e+00,-2.20625818e-01,2.43378766e-02,32
0.720833,2.88576543e-01,-2.21788168e-01,-2.21788168e-01,0.00000000e+00,-2.21788168e-01,2.45949961e-02,32
0.725000,2.87648469e-01,-2.22741306e-01,-2.22741306e-01,0.00000000e+00,-2.22741306e-01,2.48068441e-02,32
