t,px,py,pz,Lx,Ly,Lz,KE_sys
0.487500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.491667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.495833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.500000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.504167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.508333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.512500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.516667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.520833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.525000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.529167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.533333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.537500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.541667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.545833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001564e+00,0.00000000e+00,1.21450005e+01
0.550000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.554167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.558333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.562500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.566667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.570833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.575000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001516e+00,0.00000000e+00,1.21450005e+01
0.579167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001469e+00,0.00000000e+00,1.21450005e+01
0.583333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001469e+00,0.00000000e+00,1.21450005e+01
0.587500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001469e+00,0.00000000e+00,1.21450005e+01
0.591667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001469e+00,0.00000000e+00,1.21450005e+01
0.595833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001421e+00,0.00000000e+00,1.21450005e+01
0.600000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001421e+00,0.00000000e+00,1.21450005e+01
0.604167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001421e+00,0.00000000e+00,1.21450005e+01
0.608333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001421e+00,0.00000000e+00,1.21450005e+01
0.612500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001421e+00,0.00000000e+00,1.21450005e+01
0.616667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.620833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.625000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.629167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.633333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.637500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.641667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.645833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001326e+00,0.00000000e+00,1.21450005e+01
0.650000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001373e+00,0.00000000e+00,1.21450005e+01
0.654167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001326e+00,0.00000000e+00,1.21450005e+01
0.658333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001326e+00,0.00000000e+00,1.21450005e+01
0.662500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001278e+00,0.00000000e+00,1.21450005e+01
0.666667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001278e+00,0.00000000e+00,1.21450005e+01
0.670833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001278e+00,0.00000000e+00,1.21450005e+01
0.675000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001278e+00,0.00000000e+00,1.21450005e+01
0.679167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001230e+00,0.00000000e+00,1.21450005e+01
0.683333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001230e+00,0.00000000e+00,1.21450005e+01
0.687500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.691667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001230e+00,0.00000000e+00,1.21450005e+01
0.695833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.700000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.704167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.708333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.712500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.716667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.720833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.725000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.729167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001183e+00,0.00000000e+00,1.21450005e+01
0.733333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
0.737500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
0.741667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001135e+00,0.00000000e+00,1.21450005e+01
0.745833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.750000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.754167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.758333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001087e+00,0.00000000e+00,1.21450005e+01
0.762500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.766667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.770833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.775000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.779167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.783333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.787500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.791667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.795833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001040e+00,0.00000000e+00,1.21450005e+01
0.800000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.804167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.808333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000992e+00,0.00000000e+00,1.21450005e+01
0.812500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.816667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.820833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.825000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.829167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.833333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.837500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.841667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.845833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
0.850000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10000896e+00,0.00000000e+00,1.21450005e+01
