t,y1,y2,y3,y1_drift,y2_drift,y3_drift
0.558333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.562500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.566667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.570833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.575000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.579167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.583333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.587500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.591667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.595833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.600000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.604167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.608333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.612500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.616667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.620833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.625000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.629167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.633333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.637500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.641667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.645833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.650000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.654167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.658333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.662500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.666667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.670833,4.94148612e-01,1.49414778e+00,2.49398136e+00,-5.85138798e-03,-5.85222244e-03,-6.01863861e-03
0.675000,4.94148344e-01,1.49414742e+00,2.49398088e+00,-5.85165620e-03,-5.85258007e-03,-6.01911545e-03
0.679167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.683333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.687500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.691667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.695833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.700000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.704167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.708333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.712500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.716667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.720833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.725000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.729167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.733333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.737500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.741667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.745833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.750000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
